Year,Units,Регионы,GeoCode,Value
2017,тыс_тенге,Кызылординская,KZ14,1579.7
2018,тыс_тенге,Кызылординская,KZ14,2274.9
2010,тыс_тенге,Мангистауская,KZ09,691.7
2011,тыс_тенге,Мангистауская,KZ09,1184.2
2012,тыс_тенге,Мангистауская,KZ09,3586.9
2013,тыс_тенге,Мангистауская,KZ09,2633.0
2014,тыс_тенге,Мангистауская,KZ09,2917.5
2015,тыс_тенге,Мангистауская,KZ09,3033.3
2016,тыс_тенге,Мангистауская,KZ09,3547.7
2017,тыс_тенге,Мангистауская,KZ09,6297.6
2018,тыс_тенге,Мангистауская,KZ09,9826.9
2010,тыс_тенге,Южно-Казахстанская,KZ10,241.1
2011,тыс_тенге,Южно-Казахстанская,KZ10,306.5
2012,тыс_тенге,Южно-Казахстанская,KZ10,379.2
2013,тыс_тенге,Южно-Казахстанская,KZ10,481.6
2014,тыс_тенге,Южно-Казахстанская,KZ10,932.7
2015,тыс_тенге,Южно-Казахстанская,KZ10,2608.5
2016,тыс_тенге,Южно-Казахстанская,KZ10,1429.5
2017,тыс_тенге,Южно-Казахстанская,KZ10,1460.4
2010,тыс_тенге,Павлодарская,KZ11,473.6
2011,тыс_тенге,Павлодарская,KZ11,605.0
2012,тыс_тенге,Павлодарская,KZ11,594.6
2013,тыс_тенге,Павлодарская,KZ11,840.7
2014,тыс_тенге,Павлодарская,KZ11,753.0
2015,тыс_тенге,Павлодарская,KZ11,884.5
2016,тыс_тенге,Павлодарская,KZ11,1153.4
2017,тыс_тенге,Павлодарская,KZ11,1403.5
2018,тыс_тенге,Павлодарская,KZ11,1595.2
2010,тыс_тенге,Северо-Казахстанская,KZ16,630.8
2011,тыс_тенге,Северо-Казахстанская,KZ16,1337.1
2012,тыс_тенге,Северо-Казахстанская,KZ16,1200.6
2013,тыс_тенге,Северо-Казахстанская,KZ16,1254.4
2014,тыс_тенге,Северо-Казахстанская,KZ16,1567.0
2015,тыс_тенге,Северо-Казахстанская,KZ16,1709.7
2016,тыс_тенге,Северо-Казахстанская,KZ16,1939.5
2017,тыс_тенге,Северо-Казахстанская,KZ16,2459.0
2018,тыс_тенге,Северо-Казахстанская,KZ16,2669.4
2018,тыс_тенге,Туркестанская,KZ10,1690.5
2010,тыс_тенге,Восточно-Казахстанская,KZ15,462.6
2011,тыс_тенге,Восточно-Казахстанская,KZ15,562.7
2012,тыс_тенге,Восточно-Казахстанская,KZ15,903.5
2013,тыс_тенге,Восточно-Казахстанская,KZ15,1078.9
2014,тыс_тенге,Восточно-Казахстанская,KZ15,1317.7
2015,тыс_тенге,Восточно-Казахстанская,KZ15,1733.9
2016,тыс_тенге,Восточно-Казахстанская,KZ15,2032.7
2017,тыс_тенге,Восточно-Казахстанская,KZ15,2408.0
2018,тыс_тенге,Восточно-Казахстанская,KZ15,2747.2
2010,тыс_тенге,г_Нур-Султан,KZ05,453.7
2011,тыс_тенге,г_Нур-Султан,KZ05,1145.3
2012,тыс_тенге,г_Нур-Султан,KZ05,1044.9
2013,тыс_тенге,г_Нур-Султан,KZ05,762.8
2014,тыс_тенге,г_Нур-Султан,KZ05,648.8
2015,тыс_тенге,г_Нур-Султан,KZ05,1533.5
2016,тыс_тенге,г_Нур-Султан,KZ05,1002.9
2017,тыс_тенге,г_Нур-Султан,KZ05,3116.5
2018,тыс_тенге,г_Нур-Султан,KZ05,2721.3
2010,тыс_тенге,г_Алматы,KZ02,250.6
2011,тыс_тенге,г_Алматы,KZ02,363.7
2012,тыс_тенге,г_Алматы,KZ02,147.7
2013,тыс_тенге,г_Алматы,KZ02,194.3
2014,тыс_тенге,г_Алматы,KZ02,2416.8
2015,тыс_тенге,г_Алматы,KZ02,2051.0
2016,тыс_тенге,г_Алматы,KZ02,2231.0
2017,тыс_тенге,г_Алматы,KZ02,2136.9
2018,тыс_тенге,г_Алматы,KZ02,2355.5
2018,тыс_тенге,г_Шымкент,KZ18,1554.4
